CODE,TAXONOMIC,common_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Habitat-Biology,Trophic_Level,pel,dem,hab
328040100,ABARBATIA,,,,,,,,,,,,,
330140100,ABISA,,,,,,,,,,,,,
147010100,ABLENNES,,,,,,,,,,,,,
147010101,ABLENNES HIANS,flat needlefish,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Ablennes,hians,outer continental shelf; beach and shoreline; oceanic surface and epipelagic,4.5,p,,p
335470100,ABRA,,,,,,,,,,,,,
335470101,ABRA AEQUALIS,Atlantic abra,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,Abra,aequalis,benthic; estuarine; infaunal,,,,
335470102,ABRA LIOICA,smooth abra,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,Abra,lioica,benthic; infaunal,,,,
335470103,ABRA LONGICALLIS,long abra,,,,,,,,,,,,
348030200,ABRALIA,,,,,,,,,,,,,
348030201,ABRALIA GRIMPEI,,,,,,,,,,,,,
348030202,ABRALIA MEGALOPS,,,,,,,,,,,,,
348030203,ABRALIA REDFIELDI,,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,redfieldi,epipelagic (0–200 m); insular,,p,,p
348030204,ABRALIA VERANYI,,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,veranyi,oceanic; continental slope,,,,
348030300,ABRALIOPSIS,,,,,,,,,,,,,
348030301,ABRALIOPSIS MORISII,,,,,,,,,,,,,
170270100,ABUDEFDUF,sergeant majors,,,,,,,,,,,,
170270101,ABUDEFDUF SAXATILIS,sergeant major,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,saxatilis,demersal; coral reef,3.4,,d,d
170270102,ABUDEFDUF TAURUS,night sergeant,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,taurus,demersal; coral reef,2.1,,d,d
307410000,ABYSSOCHRYSIDAE,,,,,,,,,,,,,
619300200,ACANELLA,,,,,,,,,,,,,
619300201,ACANELLA EBURNEA,,Animalia,Cnidaria,Anthozoa,Gorgonacea,Isididae,Acanella,eburnea,benthic; hard substrate; slope (200–3000 m),,,,
229020900,ACANTHACARIS,,,,,,,,,,,,,
229020901,ACANTHACARIS CAECA,Atlantic deepsea lobster,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Acanthacaris,caeca,benthic; burrower; deep sea,,,,
986050000,ACANTHACEAE,acanthac�es,,,,,,,,,,,,
170370300,ACANTHEMBLEMARIA,,,,,,,,,,,,,
170370301,ACANTHEMBLEMARIA ASPERA,roughhead blenny,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Acanthemblemaria,aspera,demersal; coral reef,3.1,,d,d
170370302,ACANTHEMBLEMARIA SPINOSA,spinyhead blenny,,,,,,,,,,,,
228290100,ACANTHEPHYRA,,,,,,,,,,,,,
228290106,ACANTHEPHYRA ACANTHITELSONSIS,,,,,,,,,,,,,
228290101,ACANTHEPHYRA ACUTIFRONS,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,acutifrons,benthopelagic; pelagic; deep sea,,p,,p
228290102,ACANTHEPHYRA ARMATA,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,armata,benthic; benthopelagic; deep sea,,p,,p
228290107,ACANTHEPHYRA CURTIROSTRIS,peaked shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,curtirostris,pelagic; deep sea,,p,,p
228290103,ACANTHEPHYRA EXIMIA,,,,,,,,,,,,,
228290104,ACANTHEPHYRA PELAGICA,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,pelagica,pelagic; deep sea,,p,,p
228290105,ACANTHEPHYRA PURPUREA,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,purpurea,pelagic; deep sea,,p,,p
228290108,ACANTHEPHYRA STYLOROSTRATA,,,,,,,,,,,,,
335290100,ACANTHOCARDIA,,,,,,,,,,,,,
229260300,ACANTHOCARPUS,,,,,,,,,,,,,
229260301,ACANTHOCARPUS ALEXANDRI,gladiator box crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Acanthocarpus,alexandri,benthic; soft substrate; loose rubble or coral fragments; molluscan and other shells or shell hash,,,,
229260302,ACANTHOCARPUS BISPINOSUS,twospine box crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Acanthocarpus,bispinosus,benthic; soft substrate; molluscan and other shells or shell hash; outer continental shelf,,,,
635000000,ACANTHOCEPHALA,spiny-headed worms,,,,,,,,,,,,
160010300,ACANTHOCHAENUS,,,,,,,,,,,,,
160010301,ACANTHOCHAENUS LUETKENI,,,,,,,,,,,,,
303070101,ACANTHOCHITONA BALSAE,,,,,,,,,,,,,
303070103,ACANTHOCHITONA PYGMAEA,striate glass-hair chiton,Animalia,Mollusca,Polyplacophora,Neoloricata,Acanthochitonidae,Acanthochitona,pygmaea,benthic; epibiotic; rubble,,,,
303070102,ACANTHOCHITONA SPICULOSA,,,,,,,,,,,,,
303070000,ACANTHOCHITONIDAE,,,,,,,,,,,,,
170440900,ACANTHOCYBIUM,tetos,,,,,,,,,,,,
170440901,ACANTHOCYBIUM SOLANDERI,,,,,,,,,,,,,
619290100,ACANTHOGORGIA,,,,,,,,,,,,,
619290101,ACANTHOGORGIA ASPERA,,Animalia,Cnidaria,Anthozoa,Gorgonacea,Acanthogorgiidae,Acanthogorgia,aspera,benthic; hard substrate; outer continental shelf (50–200 m)-slope (200–3000 m),,,,
619290102,ACANTHOGORGIA SCHRAMMI,,Animalia,Cnidaria,Anthozoa,Gorgonacea,Acanthogorgiidae,Acanthogorgia,schrammi,benthic; hard substrate; bay/inshore (0–50 m)-slope (200–3000 m),,,,
619290000,ACANTHOGORGIIDAE,,,,,,,,,,,,,
170392100,ACANTHONUS,,,,,,,,,,,,,
170392101,ACANTHONUS ARNATUS,,,,,,,,,,,,,
303060100,ACANTHOPLEURA,,,,,,,,,,,,,
303060101,ACANTHOPLEURA GRANULATA,West Indian fuzzy chiton,Animalia,Mollusca,Polyplacophora,Neoloricata,Chitonidae,Acanthopleura,granulata,benthic; epibiotic; rocky intertidal,,,,
189070100,ACANTHOSTRACION,,,,,,,,,,,,,
170160000,ACANTHURIDAE,surgeonfishes,,,,,,,,,,,,
170160100,ACANTHURUS,common surgeonfishes,,,,,,,,,,,,
170160101,ACANTHURUS BAHIANUS,ocean surgeon,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,bahianus,demersal; coral reef,2,,d,d
170160103,ACANTHURUS CHIRURGUS,doctorfish,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,chirurgus,demersal; coral reef,2,,d,d
170160102,ACANTHURUS COERULEUS,blue tang,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,coeruleus,demersal; coral reef,2,,d,d
170160105,ACANTHURUS HEPATUS,,,,,,,,,,,,,
170160104,ACANTHURUS RANDALLI,Gulf surgeonfish,,,,,,,,,2,,,
328040200,ACAR,,,,,,,,,,,,,
662000000,ACARINA,chiggers,,,,,,,,,,,,
626140000,ACAUXTHOCOLPIDORA,,,,,,,,,,,,,
322270000,ACAVIDAE,,,,,,,,,,,,,
330400100,ACESTA,,,,,,,,,,,,,
228020100,ACETES,,,,,,,,,,,,,
228020105,ACETES AMERICANUS,aviu shrimp,,,,,,,,,,,,
228020104,ACETES ATLANTICUS,,,,,,,,,,,,,
228020101,ACETES CAROLINAE,,,,,,,,,,,,,
228020102,ACETES RICHARDI,,,,,,,,,,,,,
228020103,ACETES ROBUSTUS,,,,,,,,,,,,,
325010100,ACHARAX,,,,,,,,,,,,,
322010000,ACHATINELLIDAE,,,,,,,,,,,,,
322240000,ACHATINIDAE,,,,,,,,,,,,,
183060000,ACHIRIDAE,American soles,,,,,,,,,,,,
183040100,ACHIRUS,hogchokers,,,,,,,,,,,,
183040105,ACHIRUS LINEATUS,lined sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,Achirus,lineatus,demersal; bay and nearshore,3.7,,d,d
183040104,ACHIRUS PAULISTANUS,,,,,,,,,,,,,
743030000,ACHNANTHOIDEAE,,,,,,,,,,,,,
307220000,ACICULIDAE,,,,,,,,,,,,,
324020100,ACILA,,,,,,,,,,,,,
117010100,ACIPENSER,greater sturgeons,,,,,,,,,,,,
117010102,ACIPENSER BREVIROSTRUM,shortnose sturgeon,,,,,,,,,,,,
117010101,ACIPENSER OXYRHYNCHUS,Atlantic sturgeon,,,,,,,,,,,,
117010000,ACIPENSERIDAE,sturgeons,,,,,,,,,,,,
117000000,ACIPENSERIFORMES,paddlefishes,,,,,,,,,,,,
308180100,ACISTROSYRINX,,,,,,,,,,,,,
308180101,ACISTROSYRINX ELEGANS,,,,,,,,,,,,,
308180102,ACISTROSYRINX RADIATA,,,,,,,,,,,,,
307520000,ACLIDIDAE,,,,,,,,,,,,,
307520100,ACLIS,,,,,,,,,,,,,
307520108,ACLIS BEREDICTI,,,,,,,,,,,,,
307520109,ACLIS CAROLINENSIS,Carolina aclis,,,,,,,,,,,,
307520104,ACLIS CONULA,,,,,,,,,,,,,
307520101,ACLIS EOLIS,,Animalia,Mollusca,Gastropoda,"""Order"" Ptenoglossa",Aclididae,Aclis,eolis,benthic; endemic to Gulf of Mexico; parasitic,,,,
307520107,ACLIS HYALINA,,,,,,,,,,,,,
307520102,ACLIS LATA,wide aclis,,,,,,,,,,,,
307520106,ACLIS MARGUERITA,,,,,,,,,,,,,
307520105,ACLIS PENDATA,,,,,,,,,,,,,
307520103,ACLIS PYRAMIDA,,,,,,,,,,,,,
307520110,ACLIS UNDERWOODI,,,,,,,,,,,,,
335090100,ACLISTOTHYRA,,,,,,,,,,,,,
306050100,ACMAEA,,,,,,,,,,,,,
306050101,ACMAEA ANTILLARUM,,,,,,,,,,,,,
306050103,ACMAEA JAMAICENSIS,,,,,,,,,,,,,
306050102,ACMAEA LEUCOPLEURA,,,,,,,,,,,,,
306050105,ACMAEA MITCHELLI,,,,,,,,,,,,,
306050104,ACMAEA PUSTULATA,,,,,,,,,,,,,
306050000,ACMAEIDAE,,,,,,,,,,,,,
229130100,ACMOEOPLEURA,,,,,,,,,,,,,
608000000,ACNIDOSPORIDIA,,,,,,,,,,,,,
312010000,ACOCHLIDIIDAE,,,,,,,,,,,,,
312000000,ACOCHLIDIOIDEA,,,,,,,,,,,,,
332110100,ACOSTAEA,,,,,,,,,,,,,
784010000,ACROCHAETIACEAE,,,,,,,,,,,,,
321080000,ACROLOXIDAE,,,,,,,,,,,,,
321110100,ACROLOXUS,,,,,,,,,,,,,
170740100,ACROPOMA,,,,,,,,,,,,,
170740000,ACROPOMATIDAE,lanternbellies,,,,,,,,,,,,
619320100,ACROPORA,,,,,,,,,,,,,
619320101,ACROPORA CERVICORNIS,staghorn coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,cervicornis,benthic; zooxanthellate; hard substrate; coral reef (0–50 m),,,,
619320000,ACROPORIDAE,,,,,,,,,,,,,
711020000,ACROSIPHONIACEAE,,,,,,,,,,,,,
772060000,ACROTRICHACEAE,,,,,,,,,,,,,
787140000,ACROTYLACEAE,,,,,,,,,,,,,
229101600,ACTAEA,baneberry,,,,,,,,,,,,
229101602,ACTAEA ACANTHA,spinose rubble crab,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Actaea,acantha,benthic; loose rubble or coral fragments; molluscan and other shells or shell hash; associated with aquatic vegetation,,,,
229101601,ACTAEA RUFOPUNCTATA,,,,,,,,,,,,,
311140100,ACTEOCINA,,,,,,,,,,,,,
311140101,ACTEOCINA BULLATA,striate barrel-bubble,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Acteocina,bullata,benthic; carnivore (includes scavengers),,,,
311140102,ACTEOCINA CANALICULATA,channeled barrel-bubble,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Acteocina,canaliculata,benthic; carnivore (includes scavengers); offshore banks in northern Gulf of Mexico; seagrass,,,,
311140103,ACTEOCINA CANDEI,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Acteocina,candei,benthic; carnivore (includes scavengers),,,,
311140104,ACTEOCINA EUBURNEA,,,,,,,,,,,,,
311140105,ACTEOCINA RECTUS,,,,,,,,,,,,,
311140000,ACTEOCINIDAE,,,,,,,,,,,,,
311010100,ACTEON,,,,,,,,,,,,,
311010101,ACTEON CANDENS,,Animalia,Mollusca,Gastropoda,,Acteonidae,Acteon,candens,"benthic; carnivore (includes scavengers); soft substrate (muds, sands, clays)",,,,
311010103,ACTEON CUMINGII,,,,,,,,,,,,,
311010104,ACTEON DELICATUS,,Animalia,Mollusca,Gastropoda,,Acteonidae,Acteon,delicatus,"benthic; carnivore (includes scavengers); soft substrate (muds, sands, clays)",,,,
311010105,ACTEON FINLAYI,,,,,,,,,,,,,
311010106,ACTEON INCISUS,,Animalia,Mollusca,Gastropoda,,Acteonidae,Acteon,incisus,"benthic; carnivore (includes scavengers); soft substrate (muds, sands, clays)",,,,
311010107,ACTEON PERFORATUS,,Animalia,Mollusca,Gastropoda,,Acteonidae,Acteon,perforatus,"benthic; carnivore (includes scavengers); soft substrate (muds, sands, clays)",,,,
311010102,ACTEON PUNCTOSTRIATUS,,,,,,,,,,,,,
311010108,ACTEON PUSILLUS,,,,,,,,,,,,,
311010000,ACTEONIDAE,,,,,,,,,,,,,
619380100,ACTINAUGE,,,,,,,,,,,,,
619380101,ACTINAUGE LONGICORNIS,,,,,,,,,,,,,
619040100,ACTINIA,,,,,,,,,,,,,
619040000,ACTINIIDAE,,,,,,,,,,,,,
331000000,ACTINODONTOIDA,,,,,,,,,,,,,
604000000,ACTINOPODA,,,,,,,,,,,,,
619090000,ACTINOSTOLIDAE,,,,,,,,,,,,,
161020200,ACTIONOBERYX,,,,,,,,,,,,,
192010100,ACYRTOPS,,,,,,,,,,,,,
192010101,ACYRTOPS BERYLLINA,,,,,,,,,,,,,
328080100,ADACNARCA,,,,,,,,,,,,,
330235000,ADAMUSSIUM,,,,,,,,,,,,,
989030000,ADAXACEAE,,,,,,,,,,,,,
147060100,ADINIA,diamond killifishes,,,,,,,,,,,,
147060101,ADINIA XENICA,diamond killifish,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Adinia,xenica,bay and nearshore; estuarine; endemic to Gulf of Mexico,3.1,,,
329010100,ADIPICOLA,,,,,,,,,,,,,
329010200,ADULA,,,,,,,,,,,,,
223150200,AEGA,,,,,,,,,,,,,
223150201,AEGA ECARINATA,,Animalia,Arthropoda,Malacostraca,Isopoda,Aegidae,Aega,ecarinata,outer continental shelf; unknown habitat; deep sea,,,,
223150000,AEGIDAE,,,,,,,,,,,,,
329010300,AEIDIMYTILUS,,,,,,,,,,,,,
319470000,AEOLIDIIDAE,,,,,,,,,,,,,
229212600,AEPINUS,,,,,,,,,,,,,
330231100,AEQUIPECTEN,,,,,,,,,,,,,
330231101,AEQUIPECTEN GLYPTUS,red-ribbed scallop,Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Aequipecten,glyptus,benthic; epibiotic,,,,
330231106,AEQUIPECTEN MUSCOSUS,rough scallop,Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Aequipecten,muscosus,"benthic; epibiotic; soft substrate (muds, sands, clays); seagrass",,,,
330231107,AEQUIPECTEN PHRYGIUM,,,,,,,,,,,,,
324030300,AEQUIYOLIDA,,,,,,,,,,,,,
335440100,AERETICA,,,,,,,,,,,,,
677040000,AESHNIDAE,darners,,,,,,,,,,,,
110070100,AETOBATUS,bonnet rays,,,,,,,,,,,,
110070101,AETOBATUS NARINARI,bonnetray,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Aetobatus,narinari,benthic; beach and shoreline; neritic,3.2,,,
335630100,AFROPISIDIUM,,,,,,,,,,,,,
619330100,AGARICIA,,,,,,,,,,,,,
619330101,AGARICIA AGARICITES,lettuce coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Agaricia,agaricites,benthic; zooxanthellate; hard substrate; coral reef (0–50 m),,,,
619330000,AGARICIIDAE,,,,,,,,,,,,,
691120200,AGASSIZIA,,,,,,,,,,,,,
691120201,AGASSIZIA EXCENTRICA,,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Agassizia,excentrica,infaunal,,,,
308150300,AGATRIX,,,,,,,,,,,,,
308150301,AGATRIX AGASSIZII,Agassiz's nutmeg,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Agatrix,agassizii,benthic; carnivore (includes scavengers),,,,
308150302,AGATRIX SMITTII,,,,,,,,,,,,,
336100100,AGINA,,,,,,,,,,,,,
311060100,AGLAJA,,,,,,,,,,,,,
311060101,AGLAJA PUSUM,,,,,,,,,,,,,
311060000,AGLAJIDAE,,,,,,,,,,,,,
168040000,AGONIDAE,alligatorfishes,,,,,,,,,,,,
165010100,AGONOSTOMUS,mountain mullet,,,,,,,,,,,,
165010101,AGONOSTOMUS MONTICOLA,mountain mullet,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Agonostomus,monticola,coastal surface and epipelagic; bay and nearshore; estuarine,,p,,p
338120100,AGRIODESMA,,,,,,,,,,,,,
335641600,AGRIOPOMA,,,,,,,,,,,,,
335641601,AGRIOPOMA TEXASIANA,,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,Agriopoma,texasiana,benthic; infaunal; mud,,,,
143151800,AHLIA,,,,,,,,,,,,,
143151801,AHLIA EGMONTIS,key worm eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Ahlia,egmontis,"demersal; soft substrate (muds, sands, clays)",3.9,,d,d
330160000,AHTIOCONCHIDAE,,,,,,,,,,,,,
322200000,AILLYIDAE,,,,,,,,,,,,,
316010100,AKERA,,,,,,,,,,,,,
316010000,AKERATIDAE,,,,,,,,,,,,,
307470200,ALABA,,,,,,,,,,,,,
307470201,ALABA INCERTA,varicose cerith,Animalia,Mollusca,Gastropoda,,Litiopidae,Alaba,incerta,benthic; coral reef; grazer; seagrass,,,,
307460100,ALABINA,,,,,,,,,,,,,
777040000,ALARIACEAE,,,,,,,,,,,,,
338110100,ALBIMANUS,,,,,,,,,,,,,
121030100,ALBULA,bonefishes,,,,,,,,,,,,
121030102,ALBULA NEMOPTERA,shafted bonefish,,,,,,,,,3.5,,,
121030101,ALBULA VULPES,bonefish,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,Albula,vulpes,neritic,3.7,,,
121030000,ALBULIDAE,bananafishes,,,,,,,,,,,,
229310100,ALBUNEA,,,,,,,,,,,,,
229310101,ALBUNEA GIBBESII,surf mole crab,Animalia,Arthropoda,Malacostraca,Decapoda,Albuneidae,Albunea,gibbesii,benthic; infaunal; burrower,,,,
229310103,ALBUNEA OXYOPHTHALMA,,,,,,,,,,,,,
229310102,ALBUNEA PARETII,beach mole crab,Animalia,Arthropoda,Malacostraca,Decapoda,Albuneidae,Albunea,paretii,benthic; infaunal; burrower,,,,
229310000,ALBUNEIDAE,mole crabs,,,,,,,,,,,,
642020000,ALCYONIDIIDAE,,,,,,,,,,,,,
146010100,ALDROVANDIA,,,,,,,,,,,,,
146010101,ALDROVANDIA AFFINIS,halosaur,Animalia,Chordata,Actinopterygii,Albuliformes,Halosauridae,Aldrovandia,affinis,benthic; slope,3.3,,,
146010102,ALDROVANDIA GRACILIS,,Animalia,Chordata,Actinopterygii,Albuliformes,Halosauridae,Aldrovandia,gracilis,benthic; slope,3.3,,,
146010103,ALDROVANDIA PALLIDA,,,,,,,,,,,,,
146010104,ALDROVANDIA ROSTRATA,,,,,,,,,,,,,
170110100,ALECTIS,cobblerfishes,,,,,,,,,,,,
170110101,ALECTIS CILIARIS,African pompano,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Alectis,ciliaris,neritic; outer continental shelf; demersal,3.8,,d,d
129070000,ALEPISAURIDAE,lancetfishes,,,,,,,,,,,,
129070100,ALEPISAURUS,,,,,,,,,,,,,
129070102,ALEPISAURUS BREVIROSTRIS,shortnose lancetfish,,,,,,,,,,,,
129070101,ALEPISAURUS FEROX,longnose lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus,ferox,mesopelagic; bathypelagic,4.1,p,,p
121070000,ALEPOCEPHALIDAE,slickheads,,,,,,,,,,,,
121070100,ALEPOCEPHALUS,,,,,,,,,,,,,
121070101,ALEPOCEPHALUS PRODUCTUS,smalleye smoothhead,Animalia,Chordata,Actinopterygii,Argentiniformes,Alepocephalidae,Alepocephalus,productus,benthopelagic; abyssal,3.5,p,,p
307500900,ALEXANIA,,,,,,,,,,,,,
307500901,ALEXANIA FLORIDANA,smooth wentletrap,Animalia,Mollusca,Gastropoda,"""Order"" Ptenoglossa",Epitoniidae,Alexania,floridana,"benthic; carnivore (includes scavengers); soft substrate (muds, sands, clays)",,,,
700000000,ALGAE,,,,,,,,,,,,,
223030000,ALGIDAE,,,,,,,,,,,,,
335100100,ALIGENA,,,,,,,,,,,,,
335100102,ALIGENA ELEVATA,eastern aligena,,,,,,,,,,,,
335100101,ALIGENA TEXASIANA,Texas aligena,Animalia,Mollusca,Bivalvia,Veneroida,Lasaeidae,Aligena,texasiana,benthic; commensal; endemic to Gulf of Mexico; estuarine,,,,
943010000,ALISMATACEAE,arrowhead,,,,,,,,,,,,
165020200,ALLANETTA,,,,,,,,,,,,,
165020201,ALLANETTA ARAEA,,,,,,,,,,,,,
165020202,ALLANETTA HARRINGTONENSIS,,,,,,,,,,,,,
626160000,ALLOCREADIIDAE,,,,,,,,,,,,,
229052200,ALLODARDANUS,,,,,,,,,,,,,
229052201,ALLODARDANUS BREDINI,,,,,,,,,,,,,
350060000,ALLOPOSIDAE,,,,,,,,,,,,,
350060100,ALLOPOSUS,,,,,,,,,,,,,
347020500,ALLOTEUTHIS,,,,,,,,,,,,,
694040300,ALLOTHYONE,,,,,,,,,,,,,
694040301,ALLOTHYONE MEXICANA,,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Phyllophoridae,Allothyone,mexicana,infaunal; endemic to Gulf of Mexico,,,,
348210000,ALLUROTEUTHIDAE,,,,,,,,,,,,,
348210100,ALLUROTEUTHO,,,,,,,,,,,,,
107030100,ALOPIAS,,,,,,,,,,,,,
107030102,ALOPIAS SUPERCILIOSUS,bigeye thresher,Animalia,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Alopias,superciliosus,oceanic surface and epipelagic,4.5,p,,p
107030101,ALOPIAS VULPINUS,thresher shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Alopias,vulpinus,oceanic surface and epipelagic,4.5,p,,p
107030000,ALOPIIDAE,thresher sharks,,,,,,,,,,,,
121050100,ALOSA,river herrings,,,,,,,,,,,,
121050102,ALOSA AESTIVALIS,blueback herring,,,,,,,,,,,,
121050101,ALOSA ALABAMAE,Alabama shad,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,alabamae,bay and nearshore; anadromous; neritic; endemic to Gulf of Mexico,2.7,,,
121050106,ALOSA CHRYSOCHLORIS,blue herring,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,chrysochloris,bay and nearshore; anadromous; neritic; endemic to Gulf of Mexico,3.9,,,
121050103,ALOSA MEDIOCRIS,bonejack,,,,,,,,,,,,
121050104,ALOSA PSEUDOHARENGUS,alewife,,,,,,,,,,,,
121050105,ALOSA SAPIDISSIMA,American shad,,,,,,,,,,,,
228150000,ALPHEIDAE,snapping shrimps,,,,,,,,,,,,
170020200,ALPHESTES,,,,,,,,,,,,,
170020202,ALPHESTES AFER,mutton hamlet,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Alphestes,afer,demersal; coral reef; seagrass,3.5,,d,d
170020201,ALPHESTES MULTIGUTTATUS,rivulated mutton hamlet,,,,,,,,,,,,
228150100,ALPHEUS,,,,,,,,,,,,,
228150101,ALPHEUS ARMATUS,brown snapping shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,armatus,benthic; epibiotic,,,,
228150105,ALPHEUS FLORIDANUS,sand snapping shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,floridanus,benthic; soft substrate,,,,
228150102,ALPHEUS FORMOSUS,striped snapping shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,formosus,benthic; soft substrate; loose rubble or coral fragments; hard substrate,,,,
228150103,ALPHEUS HETEROCHELIS,,,,,,,,,,,,,
228150104,ALPHEUS NORMANNI,green snapping shrimp,,,,,,,,,,,,
189040400,ALUTERUS,filefishes,,,,,,,,,,,,
189040401,ALUTERUS HEUDELOTTI,,,,,,,,,,,,,
189040402,ALUTERUS MONOCEROS,unicorn filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,monoceros,demersal,3.5,,d,d
189040403,ALUTERUS SCHOEPFI,orange filefish,,,,,,,,,,,,
189040404,ALUTERUS SCRIPTUS,scrawled filefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,scriptus,"demersal; soft substrate (muds, sands, clays); seagrass",2.8,,d,d
307200300,ALVANIA,,,,,,,,,,,,,
307200313,ALVANIA ABBERANS,,,,,,,,,,,,,
307200301,ALVANIA ACUTICOSTATA,,,,,,,,,,,,,
307200302,ALVANIA AMBERIANA,,,,,,,,,,,,,
307200303,ALVANIA BRYCHIA,,,,,,,,,,,,,
307200304,ALVANIA CAMPTA,,,,,,,,,,,,,
307200305,ALVANIA CANOCICA,,,,,,,,,,,,,
307200306,ALVANIA CASTANCA,,,,,,,,,,,,,
307200307,ALVANIA CHIRIQUIENSIS,,,,,,,,,,,,,
307200308,ALVANIA GRADATA,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,gradata,benthic; grazer,,,,
307200309,ALVANIA LAMPRA,,,,,,,,,,,,,
307200310,ALVANIA PELAGICA,,,,,,,,,,,,,
307200311,ALVANIA PRECIPITATA,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,precipitata,"benthic; grazer; soft substrate (muds, sands, clays)",,,,
307200312,ALVANIA SANDERSONI,,,,,,,,,,,,,
619230000,ALYCONIIDAE,,,,,,,,,,,,,
307500100,AMAEA,,,,,,,,,,,,,
307500101,AMAEA MITCHELLI,,Animalia,Mollusca,Gastropoda,"""Order"" Ptenoglossa",Epitoniidae,Amaea,mitchelli,benthic; carnivore (includes scavengers); offshore banks in northern Gulf of Mexico,,,,
307500102,AMAEA RETIFERA,reticulate wentletrap,Animalia,Mollusca,Gastropoda,"""Order"" Ptenoglossa",Epitoniidae,Amaea,retifera,"benthic; carnivore (includes scavengers); soft substrate (muds, sands, clays)",,,,
967010000,AMARANTACEAE,,,,,,,,,,,,,
596010100,AMAROUCIUM,,,,,,,,,,,,,
596010101,AMAROUCIUM STELLATUM,,,,,,,,,,,,,
322030000,AMASTRIDAE,,,,,,,,,,,,,
307760100,AMAUROPSIS,,,,,,,,,,,,,
170590100,AMBLYCIRRHITUS,,,,,,,,,,,,,
170590101,AMBLYCIRRHITUS PINOS,redspotted hawkfish,Animalia,Chordata,Actinopterygii,Perciformes,Cirrhitidae,Amblycirrhitus,pinos,benthopelagic; coral reef,3.2,p,,p
330010000,AMBONYCHIIDAE,,,,,,,,,,,,,
335290200,AMERICARDIA,,,,,,,,,,,,,
