CRUISEID,YR,SOURCE,VESSEL,CRUISE_NO,STARTCRU,ENDCRU,TITLE,NOTE
638,2006,TX,69,62,6/5/2006,6/27/2006,Summer SEAMAP Groundfish Survey,0
639,2006,TX,40,62,6/5/2006,6/23/2006,Summer SEAMAP Groundfish Survey,0
640,2006,TX,32,62,6/5/2006,6/26/2006,Summer SEAMAP Groundfish Survey,0
641,2006,TX,67,62,6/5/2006,6/26/2006,Summer SEAMAP Groundfish Survey,0
642,2006,MS,17,61,6/6/2006,7/5/2006,Summer SEAMAP Groundfish Survey,0
643,2006,US,4,271,6/14/2006,7/16/2006,Summer SEAMAP Groundfish Survey,0
644,2006,US,63,64,8/31/2006,9/27/2006,Fall SEAMAP Plankton Survey,0
645,2006,AL,23,62,9/5/2006,9/5/2006,Fall SEAMAP Plankton Survey,0
646,2006,MS,17,62,10/5/2006,10/8/2006,Fall SEAMAP Groundfish Survey,0
647,2006,US,63,65,10/13/2006,11/19/2006,Fall SEAMAP Groundfish Survey,0
648,2006,US,4,273,10/15/2006,11/20/2006,Fall SEAMAP Groundfish Survey,0
649,2006,AL,23,63,10/25/2006,11/9/2006,Fall SEAMAP Groundfish Survey,0
650,2006,TX,40,63,11/1/2006,11/17/2006,Fall SEAMAP Groundfish Survey,0
651,2006,TX,65,63,11/1/2006,11/17/2006,Fall SEAMAP Groundfish Survey,0
652,2006,TX,32,63,11/1/2006,11/20/2006,Fall SEAMAP Groundfish Survey,0
653,2006,TX,69,63,11/1/2006,11/27/2006,Fall SEAMAP Groundfish Survey,0
654,2006,LA,35,62,12/12/2006,12/15/2006,Winter SEAMAP Trawl Survey,0
655,2007,US,63,72,3/18/2007,3/28/2007,Spring SEAMAP Plankton Survey,0
656,2007,US,63,73,4/17/2007,5/29/2007,Spring SEAMAP Plankton Survey,0
657,2007,AL,23,71,6/4/2007,6/27/2007,Summer SEAMAP Groundfish Survey,0
658,2007,MS,17,71,6/5/2007,6/9/2007,Spring SEAMAP Plankton Survey,0
659,2007,US,4,276,6/7/2007,8/3/2007,Summer SEAMAP Groundfish Survey,0
660,2007,MS,17,72,6/12/2007,7/8/2007,Summer SEAMAP Groundfish Survey,0
661,2007,LA,35,71,6/26/2007,6/29/2007,Summer SEAMAP Groundfish Survey,0
662,2007,US,63,75,8/29/2007,9/28/2007,Fall SEAMAP Plankton Survey,0
663,2007,MS,17,73,9/28/2007,9/29/2007,SEAMAP Fall Plankton Survey,0
664,2007,LA,35,72,10/8/2007,10/11/2007,Fall SEAMAP Groundfish Survey,0
666,2007,US,4,278,10/15/2007,11/11/2007,Fall SEAMAP Groundfish Survey,0
667,2007,LA,35,73,12/4/2007,12/7/2007,Winter SEAMAP Trawl Survey,0
668,2008,LA,35,81,4/1/2008,4/4/2008,Spring SEAMAP Trawl Survey,0
669,2008,LA,35,82,6/23/2008,6/26/2008,Summer SEAMAP Groundfish Survey,0
670,2008,LA,35,84,9/23/2008,9/26/2008,Fall SEAMAP Groundfish Survey,0
673,2007,TX,32,72,6/4/2007,6/20/2007,Summer SEAMAP Groundfish Survey,0
674,2007,TX,32,73,11/1/2007,11/19/2007,Fall SEAMAP Groundfish Survey,0
675,2007,TX,40,72,6/5/2007,6/21/2007,Summer SEAMAP Groundfish Survey,0
676,2007,TX,67,72,6/4/2007,6/21/2007,Summer SEAMAP Groundfish Survey,0
677,2007,TX,31,72,6/5/2007,6/23/2007,Summer SEAMAP Groundfish Survey,0
678,2007,TX,69,72,6/5/2007,6/21/2007,Summer SEAMAP Groundfish Survey,0
679,2007,TX,40,73,11/1/2007,11/28/2007,Fall SEAMAP Groundfish Survey,0
680,2007,TX,67,73,11/1/2007,11/19/2007,Fall SEAMAP Groundfish Survey,0
681,2007,TX,31,73,11/2/2007,11/19/2007,Fall SEAMAP Groundfish Survey,0
682,2007,TX,69,73,11/8/2007,11/27/2007,Fall SEAMAP Groundfish Survey,0
701,2008,MS,17,82,5/31/2008,6/3/2008,Summer SEAMAP Groundfish Survey,0
702,2007,MS,17,74,10/10/2007,10/13/2007,Fall SEAMAP Groundfish Survey,0
703,2008,AL,23,81,6/2/2008,6/16/2008,Summer SEAMAP Groundfish Survey,0
704,2008,AL,23,82,9/17/2008,9/17/2008,Fall SEAMAP Plankton Survey,0
705,2008,AL,23,83,11/7/2008,11/17/2008,Fall SEAMAP Groundfish Survey,0
706,2008,FL,17,83,8/1/2008,8/10/2008,Summer SEAMAP Groundfish Survey,0
707,2007,AL,23,72,9/12/2007,9/12/2007,Fall SEAMAP Plankton Survey,0
708,2007,AL,23,73,10/9/2007,11/6/2007,Fall SEAMAP Groundfish Survey,0
709,2008,MS,17,81,5/20/2008,5/21/2008,Spring SEAMAP Plankton Survey,0
710,2008,MS,17,84,9/27/2008,9/29/2008,Fall SEAMAP Plankton Survey,0
711,2008,MS,17,87,11/19/2008,11/19/2008,Fall SEAMAP Groundfish Survey,0
712,2008,US,63,82,4/20/2008,5/30/2008,Spring SEAMAP Plankton Survey,0
713,2003,US,72,31,10/22/2003,11/23/2003,SEAMAP Trap Video Survey,0
714,2009,LA,35,91,1/26/2009,1/29/2009,Winter SEAMAP Groundfish Survey,0
715,2009,MS,17,91,3/3/2009,3/5/2009,Winter SEAMAP Plankton Survey,0
716,2008,US,4,282,6/11/2008,7/16/2008,Summer SEAMAP Groundfish Survey,0
717,2009,AL,23,91,1/21/2009,1/21/2009,Winter SEAMAP Groundfish Survey,0
718,2008,TX,32,82,6/2/2008,6/16/2008,Summer SEAMAP Groundfish Survey,0
719,2008,TX,32,83,11/3/2008,11/20/2008,Fall SEAMAP Groundfish Survey,0
720,2008,TX,40,82,6/11/2008,6/17/2008,Summer SEAMAP Groundfish Survey,0
721,2008,TX,67,82,6/9/2008,6/16/2008,Summer SEAMAP Groundfish Survey,0
722,2008,TX,31,82,6/11/2008,6/23/2008,Summer SEAMAP Groundfish Survey,0
723,2008,TX,69,82,6/2/2008,6/24/2008,Summer SEAMAP Groundfish Survey,0
724,2008,TX,40,83,11/13/2008,11/17/2008,Fall SEAMAP Groundfish Survey,0
725,2008,TX,67,83,11/8/2008,11/17/2008,Fall SEAMAP Groundfish Survey,0
726,2008,TX,31,83,11/3/2008,11/18/2008,Fall SEAMAP Groundfish Survey,0
727,2008,TX,69,83,11/8/2008,11/19/2008,Fall SEAMAP Groundfish Survey,0
728,2004,US,55,41,2/22/2004,3/14/2004,SEAMAP Trap Video Survey,0
729,2009,LA,35,92,3/15/2009,3/18/2009,Spring SEAMAP Groundfish Survey,0
730,2009,AL,23,92,6/8/2009,6/11/2009,Summer SEAMAP Groundfish Survey,0
732,2005,US,72,54,10/18/2005,10/27/2005,SEAMAP Trap Video Survey,0
733,2005,US,72,52,5/23/2005,7/29/2005,SEAMAP Trap Video Survey,0
734,2005,US,4,264,4/20/2005,5/11/2005,SEAMAP Trap Video Survey,0
735,2005,US,55,53,2/16/2005,3/25/2005,SEAMAP Trap Video Survey,0
736,2009,LA,35,93,6/16/2009,6/19/2009,Summer SEAMAP Groundfish Survey,0
737,2009,TX,69,91,2/12/2009,2/23/2009,Winter SEAMAP Groundfish Survey,0
738,2009,TX,67,91,2/3/2009,2/23/2009,Winter SEAMAP Groundfish Survey,0
739,2009,TX,40,91,2/3/2009,2/24/2009,Winter SEAMAP Groundfish Survey,0
740,2009,TX,32,91,2/3/2009,2/23/2009,Winter SEAMAP Groundfish Survey,0
741,2009,TX,31,91,2/12/2009,2/23/2009,Winter SEAMAP Groundfish Survey,0
742,2006,US,4,270,4/16/2006,5/9/2006,Reef Fish Survey,0
743,2006,US,72,63,5/25/2006,7/7/2006,Reef Fish Survey,0
744,2006,US,72,65,7/27/2006,8/11/2006,Reef Fish Survey,0
745,2006,US,55,61,2/17/2006,3/28/2006,Reef Fish Survey,0
746,2007,US,4,275,4/22/2007,5/30/2007,SEAMAP Trap Video Survey,0
747,2007,US,55,72,2/6/2007,3/9/2007,SEAMAP Trap Video Survey,0
748,2009,FL,17,94,7/10/2009,7/30/2009,Summer SEAMAP Groundfish Survey,0
749,2009,LA,35,94,9/22/2009,9/25/2009,Fall SEAMAP Groundfish Survey,0
750,2009,AL,23,94,10/28/2009,10/28/2009,Fall SEAMAP Groundfish Survey,0
751,2009,MS,17,93,6/2/2009,7/1/2009,Summer SEAMAP Groundfish Survey,0
752,2009,TX,31,92,6/3/2009,6/24/2009,Summer SEAMAP Groundfish Survey,0
753,2009,TX,32,92,6/3/2009,6/24/2009,Summer SEAMAP Groundfish Survey,0
754,2009,TX,40,92,6/1/2009,6/23/2009,Summer SEAMAP Groundfish Survey,0
755,2009,TX,67,92,6/1/2009,6/24/2009,Summer SEAMAP Groundfish Survey,0
756,2009,TX,69,92,6/15/2009,6/23/2009,Summer SEAMAP Groundfish Survey,0
757,2009,TX,31,93,11/2/2009,11/18/2009,Fall SEAMAP Groundfish Survey,0
758,2009,TX,32,93,11/2/2009,11/18/2009,Fall SEAMAP Groundfish Survey,0
759,2009,TX,40,93,11/2/2009,11/18/2009,Fall SEAMAP Groundfish Survey,0
760,2009,TX,67,93,11/2/2009,11/17/2009,Fall SEAMAP Groundfish Survey,0
761,2009,TX,69,93,11/4/2009,11/17/2009,Fall SEAMAP Groundfish Survey,0
762,2009,FL,17,97,10/9/2009,10/28/2009,Fall SEAMAP Groundfish Survey,0
763,2008,US,4,284,10/10/2008,11/18/2008,Fall SEAMAP Groundfish Survey,0
764,2008,FL,17,86,10/15/2008,10/22/2008,Fall SEAMAP Groundfish Survey,0
765,2010,FL,17,102,6/25/2010,7/16/2010,Summer SEAMAP Groundfish Survey,0
766,2009,US,63,94,8/26/2009,9/28/2009,Fall SEAMAP Plankton Survey,0
767,2009,US,63,91,2/5/2009,3/14/2009,Winter SEAMAP Plankton Survey,0
768,2009,MS,17,96,10/2/2009,10/5/2009,Fall SEAMAP Groundfish Survey,0
769,2010,MS,17,101,5/31/2010,8/26/2010,Summer SEAMAP Groundfish Survey,0
770,2009,US,4,287,6/8/2009,7/17/2009,Summer SEAMAP Groundfish Survey,0
771,2009,US,63,92,4/3/2009,6/1/2009,Spring SEAMAP Plankton Survey,0
772,2010,MS,17,105,9/17/2010,9/20/2010,Fall SEAMAP Plankton Survey,0
773,2010,MS,17,106,10/6/2010,10/8/2010,Fall SEAMAP Groundfish Survey,0
774,2009,US,4,289,10/10/2009,11/20/2009,Fall SEAMAP Groundfish Survey,0
778,2010,AL,77,101,2/20/2010,2/20/2010,Winter SEAMAP Groundfish Survey,0
780,2010,AL,77,102,6/2/2010,6/8/2010,Summer SEAMAP Groundfish Survey,0
781,2010,AL,77,104,10/17/2010,10/18/2010,Fall SEAMAP Groundfish Survey,0
782,2010,LA,35,101,2/25/2010,2/28/2010,Winter SEAMAP Groundfish Survey,0
783,2008,US,4,281,4/13/2008,5/21/2008,Reef Fish Survey,0
784,2008,US,55,81,2/2/2008,3/12/2008,Reef Fish Survey,0
785,2008,US,72,82,6/12/2008,8/10/2008,Reef Fish Survey,0
786,2008,US,63,84,9/5/2008,9/30/2008,Fall SEAMAP Plankton Survey,0
787,2008,US,4,280,2/7/2008,3/15/2008,Winter SEAMAP Plankton Survey,0
788,2010,TX,31,101,2/14/2010,2/17/2010,Winter SEAMAP Groundfish Survey,0
789,2010,TX,32,101,2/5/2010,2/16/2010,Winter SEAMAP Groundfish Survey,0
790,2010,TX,40,101,2/1/2010,2/17/2010,Winter SEAMAP Groundfish Survey,0
791,2010,TX,67,101,2/5/2010,2/16/2010,Winter SEAMAP Groundfish Survey,0
792,2010,TX,69,101,2/1/2010,2/17/2010,Winter SEAMAP Groundfish Survey,0
793,2010,TX,31,102,6/7/2010,6/21/2010,Summer SEAMAP Groundfish Survey,0
794,2010,TX,32,102,6/1/2010,6/16/2010,Summer SEAMAP Groundfish Survey,0
795,2010,TX,40,102,6/2/2010,6/17/2010,Summer SEAMAP Groundfish Survey,0
796,2010,TX,67,102,6/1/2010,6/21/2010,Summer SEAMAP Groundfish Survey,0
797,2010,TX,69,102,6/3/2010,6/21/2010,Summer SEAMAP Groundfish Survey,0
798,2011,AL,77,111,2/15/2011,2/15/2011,Winter SEAMAP Groundfish Survey,0
799,2010,LA,35,102,4/16/2010,4/19/2010,Spring SEAMAP Groundfish Survey,0
800,2010,LA,35,103,6/8/2010,6/11/2010,Summer SEAMAP Groundfish Survey,0
801,2010,LA,35,104,9/22/2010,9/24/2010,Fall SEAMAP Groundfish Survey,0
802,2009,MS,17,95,9/16/2009,9/17/2009,Fall SEAMAP Plankton Survey,0
803,2011,AL,77,112,6/15/2011,6/15/2011,Summer SEAMAP Groundfish Survey,0
804,2011,TX,31,111,2/12/2011,2/23/2011,Winter SEAMAP Groundfish Survey,0
805,2011,TX,32,111,2/8/2011,2/17/2011,Winter SEAMAP Groundfish Survey,0
806,2011,TX,40,111,2/11/2011,2/19/2011,Winter SEAMAP Groundfish Survey,0
807,2011,TX,67,111,2/8/2011,2/16/2011,Winter SEAMAP Groundfish Survey,1
808,2011,TX,69,111,2/12/2011,2/23/2011,Winter SEAMAP Groundfish Survey,1
809,2009,US,72,95,6/11/2009,8/1/2009,Reef Fish Survey,0
810,2009,US,4,286,4/15/2009,5/28/2009,Reef Fish Survey,0
811,2011,LA,35,111,6/20/2011,6/23/2011,Summer SEAMAP Groundfish Survey,
812,2011,MS,17,115,10/21/2011,10/25/2011,Fall SEAMAP Groundfish Survey,0
813,2011,MS,17,112,6/3/2011,6/5/2011,Summer SEAMAP Groundfish Survey,0
814,2010,FL,17,107,10/14/2010,10/22/2010,Fall SEAMAP Groundfish Survey,0
815,2010,US,4,290,6/26/2010,8/2/2010,Summer SEAMAP Groundfish Survey,0
816,2010,US,4,292,10/9/2010,11/18/2010,Fall SEAMAP Groundfish Survey,0
817,2011,US,4,295,6/7/2011,7/17/2011,Summer SEAMAP Groundfish Survey,0
818,2011,AL,77,114,11/1/2011,11/12/2011,Fall SEAMAP Groundfish Survey,0
819,2011,US,4,297,10/10/2011,11/6/2011,Fall SEAMAP Groundfish Survey,0
820,2011,TX,31,112,6/1/2011,6/28/2011,Summer SEAMAP Groundfish Survey,3
821,2011,TX,32,112,6/1/2011,6/27/2011,Summer SEAMAP Groundfish Survey,3
822,2011,TX,40,112,6/2/2011,6/29/2011,Summer SEAMAP Groundfish Survey,3
823,2011,TX,67,112,6/7/2011,6/23/2011,Summer SEAMAP Groundfish Survey,3
824,2011,TX,69,112,6/1/2011,6/23/2011,Summer SEAMAP Groundfish Survey,3
825,2011,TX,31,113,11/5/2011,11/29/2011,Fall SEAMAP Groundfish Survey,3
826,2011,TX,32,113,11/1/2011,11/16/2011,Fall SEAMAP Groundfish Survey,3
827,2011,TX,40,113,11/11/2011,11/16/2011,Fall SEAMAP Groundfish Survey,3
828,2011,TX,67,113,11/1/2011,11/16/2011,Fall SEAMAP Groundfish Survey,3
829,2011,TX,69,113,11/1/2011,11/16/2011,Fall SEAMAP Groundfish Survey,3
830,2010,US,76,103,6/17/2010,7/11/2010,SEAMAP Reef Fish Survey,0
831,2010,US,72,101,3/17/2010,4/2/2010,SEAMAP Reef Fish Survey,0
832,2010,US,72,103,5/14/2010,6/3/2010,SEAMAP Reef Fish Survey,0
833,2010,US,72,105,8/20/2010,9/5/2010,SEAMAP Reef Fish Survey,0
834,2010,US,63,101,4/7/2010,5/22/2010,Spring SEAMAP Plankton Survey,0
835,2010,US,63,104,8/25/2010,9/28/2010,Fall SEAMAP Plankton Survey,0
836,2011,FL,17,113,6/8/2011,7/31/2011,Summer SEAMAP Groundfish Survey,0
837,2009,FL,75,91,7/14/2009,7/16/2009,Summer SEAMAP Groundfish Survey,0
838,2010,FL,75,102,7/7/2010,7/10/2010,Summer SEAMAP Groundfish Survey,0
839,2010,TX,31,103,11/8/2010,11/19/2010,Fall SEAMAP Groundfish Survey,
840,2010,TX,32,103,11/1/2010,11/19/2010,Fall SEAMAP Groundfish Survey,
841,2010,TX,40,103,11/9/2010,11/18/2010,Fall SEAMAP Groundfish Survey,
842,2010,TX,67,103,11/1/2010,11/17/2010,Fall SEAMAP Groundfish Survey,
843,2010,TX,69,103,11/8/2010,11/17/2010,Fall SEAMAP Groundfish Survey,
844,2012,AL,77,121,6/29/2012,6/30/2012,Summer SEAMAP Groundfish Survey,0
845,2012,AL,77,123,10/9/2012,10/10/2012,Fall SEAMAP Groundfish Survey,0
846,2012,MS,17,122,5/29/2012,5/31/2012,Summer SEAMAP Groundfish Survey,0
847,2012,TX,31,122,6/7/2012,7/6/2012,Summer SEAMAP Groundfish Survey,
848,2012,TX,32,122,6/5/2012,7/3/2012,Summer SEAMAP Groundfish Survey,
849,2012,TX,40,122,6/15/2012,7/3/2012,Summer SEAMAP Groundfish Survey,
850,2012,TX,69,122,6/7/2012,7/3/2012,Summer SEAMAP Groundfish Survey,
851,2012,TX,87,122,6/5/2012,7/12/2012,Summer SEAMAP Groundfish Survey,
852,2012,TX,31,123,11/2/2012,11/20/2012,Fall SEAMAP Groundfish Survey,
853,2012,TX,32,123,11/1/2012,11/19/2012,Fall SEAMAP Groundfish Survey,
854,2012,TX,40,123,11/1/2012,11/18/2012,Fall SEAMAP Groundfish Survey,
855,2012,TX,69,123,11/7/2012,11/19/2012,Fall SEAMAP Groundfish Survey,
856,2012,TX,87,123,11/1/2012,11/26/2012,Fall SEAMAP Groundfish Survey,
857,2012,FL,17,123,6/7/2012,7/4/2012,Summer SEAMAP Groundfish Survey,0
858,2011,US,63,111,3/31/2011,5/27/2011,Spring SEAMAP Plankton Survey,0
859,2011,US,63,113,8/26/2011,9/28/2011,Fall SEAMAP Plankton Survey,0
860,2012,MS,17,1205,10/3/2012,10/4/2012,Fall SEAMAP Groundfish Survey,0
